date,datetime,SACTMIN,SPOSTMIN
06/30/2018,2018-06-30 20:09:07,,140
06/30/2018,2018-06-30 20:16:07,,140
06/30/2018,2018-06-30 20:23:07,,140
06/30/2018,2018-06-30 20:29:07,,140
06/30/2018,2018-06-30 20:37:08,,140
06/30/2018,2018-06-30 20:39:45,,140
06/30/2018,2018-06-30 20:44:07,,140
06/30/2018,2018-06-30 20:51:06,,140
06/30/2018,2018-06-30 20:56:49,,140
06/30/2018,2018-06-30 20:58:07,,140
06/30/2018,2018-06-30 21:02:07,,140
06/30/2018,2018-06-30 21:09:07,,140
06/30/2018,2018-06-30 21:16:07,,85
06/30/2018,2018-06-30 21:23:06,,85
06/30/2018,2018-06-30 21:29:06,,85
06/30/2018,2018-06-30 21:37:06,,85
06/30/2018,2018-06-30 21:44:07,,85
06/30/2018,2018-06-30 21:51:07,,85
06/30/2018,2018-06-30 21:58:07,,85
06/30/2018,2018-06-30 22:02:07,,85
06/30/2018,2018-06-30 22:04:57,,50
06/30/2018,2018-06-30 22:05:30,50,
06/30/2018,2018-06-30 22:05:30,53,
06/30/2018,2018-06-30 22:09:06,,50
06/30/2018,2018-06-30 22:16:07,,50
06/30/2018,2018-06-30 22:23:06,,50
06/30/2018,2018-06-30 22:29:06,,50
06/30/2018,2018-06-30 22:33:35,,50
06/30/2018,2018-06-30 22:37:06,,50
06/30/2018,2018-06-30 22:44:06,,50
06/30/2018,2018-06-30 22:51:07,,50
06/30/2018,2018-06-30 22:58:07,,60
06/30/2018,2018-06-30 23:02:07,,60
06/30/2018,2018-06-30 23:09:06,,-999
06/30/2018,2018-06-30 23:16:07,,-999
06/30/2018,2018-06-30 23:23:06,,-999
06/30/2018,2018-06-30 23:29:06,,-999
06/30/2018,2018-06-30 23:37:06,,-999
06/30/2018,2018-06-30 23:44:07,,-999
07/01/2018,2018-07-01 06:16:08,,-999
07/01/2018,2018-07-01 06:23:07,,-999
07/01/2018,2018-07-01 06:29:07,,-999
07/01/2018,2018-07-01 06:37:07,,-999
07/01/2018,2018-07-01 06:44:06,,5
07/01/2018,2018-07-01 06:51:06,,5
07/01/2018,2018-07-01 06:58:06,,5
07/01/2018,2018-07-01 07:02:06,,10
07/01/2018,2018-07-01 07:09:06,,10
07/01/2018,2018-07-01 07:16:06,,10
07/01/2018,2018-07-01 07:16:38,27,
07/01/2018,2018-07-01 07:19:25,,70
07/01/2018,2018-07-01 07:23:07,,20
07/01/2018,2018-07-01 07:29:06,,50
07/01/2018,2018-07-01 07:35:30,,30
07/01/2018,2018-07-01 07:37:03,24,
07/01/2018,2018-07-01 07:37:06,,30
07/01/2018,2018-07-01 07:44:07,,30
07/01/2018,2018-07-01 07:51:07,,45
07/01/2018,2018-07-01 07:58:08,,65
07/01/2018,2018-07-01 08:02:08,,65
07/01/2018,2018-07-01 08:07:27,47,
07/01/2018,2018-07-01 08:09:06,,65
07/01/2018,2018-07-01 08:16:07,,65
07/01/2018,2018-07-01 08:23:08,,65
07/01/2018,2018-07-01 08:29:06,,65
07/01/2018,2018-07-01 08:37:06,,65
07/01/2018,2018-07-01 08:44:07,,65
07/01/2018,2018-07-01 08:51:06,,65
07/01/2018,2018-07-01 08:58:06,,65
07/01/2018,2018-07-01 09:00:08,,60
07/01/2018,2018-07-01 09:00:23,66,
07/01/2018,2018-07-01 09:02:07,,65
07/01/2018,2018-07-01 09:06:31,,60
07/01/2018,2018-07-01 09:09:06,,65
07/01/2018,2018-07-01 09:16:07,,50
07/01/2018,2018-07-01 09:23:07,,50
07/01/2018,2018-07-01 09:29:06,,65
07/01/2018,2018-07-01 09:37:08,,65
07/01/2018,2018-07-01 09:44:06,,65
07/01/2018,2018-07-01 09:51:06,,65
07/01/2018,2018-07-01 09:58:07,,65
07/01/2018,2018-07-01 10:02:07,,65
07/01/2018,2018-07-01 10:09:06,,65
07/01/2018,2018-07-01 10:16:07,,65
07/01/2018,2018-07-01 10:23:06,,95
07/01/2018,2018-07-01 10:29:06,,90
07/01/2018,2018-07-01 10:37:06,,80
07/01/2018,2018-07-01 10:44:06,,90
07/01/2018,2018-07-01 10:51:07,,70
07/01/2018,2018-07-01 10:58:06,,70
07/01/2018,2018-07-01 11:02:07,,70
07/01/2018,2018-07-01 11:09:07,,70
07/01/2018,2018-07-01 11:16:07,,70
07/01/2018,2018-07-01 11:23:07,,55
07/01/2018,2018-07-01 11:29:06,,55
07/01/2018,2018-07-01 11:37:07,,55
07/01/2018,2018-07-01 11:44:07,,55
07/01/2018,2018-07-01 11:51:08,,70
07/01/2018,2018-07-01 11:58:09,,70
07/01/2018,2018-07-01 12:02:00,,50
07/01/2018,2018-07-01 12:02:08,,50
07/01/2018,2018-07-01 12:04:40,,45
07/01/2018,2018-07-01 12:09:07,,50
07/01/2018,2018-07-01 12:16:08,,50
07/01/2018,2018-07-01 12:23:06,,80
07/01/2018,2018-07-01 12:29:07,,95
07/01/2018,2018-07-01 12:37:07,,95
07/01/2018,2018-07-01 12:44:06,,110
07/01/2018,2018-07-01 12:45:36,,95
07/01/2018,2018-07-01 12:51:07,,95
07/01/2018,2018-07-01 12:58:07,,110
07/01/2018,2018-07-01 13:02:07,,110
07/01/2018,2018-07-01 13:09:07,,110
07/01/2018,2018-07-01 13:16:08,,110
07/01/2018,2018-07-01 13:23:07,,45
07/01/2018,2018-07-01 13:29:06,,45
07/01/2018,2018-07-01 13:37:07,,45
07/01/2018,2018-07-01 13:42:46,,45
07/01/2018,2018-07-01 13:42:55,31,
07/01/2018,2018-07-01 13:44:06,,45
07/01/2018,2018-07-01 13:51:06,,45
07/01/2018,2018-07-01 13:58:08,,45
07/01/2018,2018-07-01 14:02:07,,55
07/01/2018,2018-07-01 14:09:07,,55
07/01/2018,2018-07-01 14:13:29,39,
07/01/2018,2018-07-01 14:16:07,,55
07/01/2018,2018-07-01 14:23:06,,55
07/01/2018,2018-07-01 14:29:06,,55
07/01/2018,2018-07-01 14:37:08,,55
07/01/2018,2018-07-01 14:44:06,,55
07/01/2018,2018-07-01 14:51:07,,55
07/01/2018,2018-07-01 14:58:07,,55
07/01/2018,2018-07-01 15:02:06,,45
07/01/2018,2018-07-01 15:09:42,,55
07/01/2018,2018-07-01 15:16:08,,55
07/01/2018,2018-07-01 15:23:09,,55
07/01/2018,2018-07-01 15:29:06,,50
07/01/2018,2018-07-01 15:37:06,,50
07/01/2018,2018-07-01 15:44:07,,50
07/01/2018,2018-07-01 15:51:07,,50
